timeline,mean_inst_0,mean_inst_1,mean_inst_2,mean_cumm_0,mean_cumm_1,mean_cumm_2,std_inst_0,std_inst_1,std_inst_2,std_cumm_0,std_cumm_1,std_cumm_2
0.277777777778,0.00404930758368,0.0526106841473,0.0217912873627,33466.0406,131082.308811,113668.691367,0.00254154861649,0.062306542714,0.0402187768384,19694.4082481,101683.235608,85625.2977768
0.278278278278,0.00404674228447,0.0524835189204,0.0217871230476,33477.3280739,131232.762069,113720.934142,0.00254105165436,0.0622383660176,0.0402207235296,19700.4331184,101852.670964,85661.7811248
0.278778778779,0.00404417698525,0.0524738074768,0.0217829587326,33488.6155477,131383.109593,113773.176917,0.00254057314765,0.0622353306509,0.040222674835,19706.460781,102022.084886,85698.362839
0.279279279279,0.00404161168603,0.0524720358081,0.0217787944175,33499.9030216,131533.457117,113825.419692,0.00254011310676,0.0622362572022,0.040224630754,19712.4912334,102191.584755,85735.0427934
0.27977977978,0.00403904638681,0.0524702641395,0.0213147497483,33511.1904955,131683.804641,113874.032631,0.00253967154175,0.0622371841929,0.0393239554025,19718.524473,102361.170144,85770.425518
0.28028028028,0.0040364810876,0.0524684924709,0.0206906608843,33522.4779694,131834.152166,113921.382342,0.00253924846225,0.0622381116231,0.0385036202391,19724.5604973,102530.840628,85805.414305
0.280780780781,0.00403391578838,0.0524644207729,0.0200666236886,33533.7654432,131984.425397,113968.732053,0.0025388438775,0.062238915239,0.0381619470138,19730.5993037,102700.664719,85840.4937016
0.281281281281,0.00403135048916,0.0524565773099,0.0195862875833,33545.0529171,132134.6236,114016.081763,0.00253845779634,0.0622381057502,0.0382336414329,19736.6408897,102870.627036,85875.663597
0.281781781782,0.00402878518995,0.0524487338469,0.0195839998039,33556.340391,132284.821803,114063.431474,0.00253809022723,0.0622373150303,0.0382345732708,19742.6852528,103040.67303,85910.9238798
0.282282282282,0.00402621989073,0.0524408903839,0.0195817120244,33567.6278649,132435.020007,114110.781184,0.00253774117819,0.0622365430801,0.038235505751,19748.7323902,103210.802288,85946.2744389
0.282782782783,0.00402365459151,0.0524330469209,0.0195794242449,33578.9153387,132585.21821,114158.130895,0.00253741065688,0.0622357899002,0.0382364388734,19754.7822996,103381.014399,85981.715163
0.283283283283,0.0040210892923,0.0524252034579,0.0195771364654,33590.2028126,132735.416413,114205.480606,0.00253709867053,0.0622350554915,0.038237372638,19760.8349784,103551.308954,86017.2459405
0.283783783784,0.00401859395964,0.0524173599949,0.019574697329,33601.4902865,132885.614616,114252.779468,0.00253687821304,0.0622343398544,0.0382379359377,19766.890424,103721.685546,86052.8009832
